"drug1","drug2","type"
"POTASSIUM CITRATE","RAMIPRIL","CRITICAL"
"POTASSIUM CITRATE","SPIRONOLACTONE","CRITICAL"
"POTASSIUM CITRATE","TRIAMTERENE","CRITICAL"
"POTASSIUM GLUCONATE","QUINAPRIL","CRITICAL"
"POTASSIUM GLUCONATE","RAMIPRIL","CRITICAL"
"POTASSIUM GLUCONATE","SPIRONOLACTONE","CRITICAL"
"POTASSIUM GLUCONATE","TRIAMTERENE","CRITICAL"
"PRAMLINTIDE","TEGASEROD MALEATE","CRITICAL"
"PRAZEPAM","SODIUM OXYBATE","CRITICAL"
"PRIMIDONE","SODIUM OXYBATE","CRITICAL"
"PRIMIDONE","WARFARIN","CRITICAL"
"PROCAINAMIDE","RANOLAZINE","CRITICAL"
"PROCAINAMIDE","ZIPRASIDONE","CRITICAL"
"PROPAFENONE","RITONAVIR","CRITICAL"
"PROPAFENONE","TIZANIDINE","CRITICAL"
"PROPOXYPHENE","RITONAVIR","CRITICAL"
"PROPOXYPHENE","SODIUM OXYBATE","CRITICAL"
"PROPRANOLOL","VERAPAMIL","CRITICAL"
"PSEUDOEPHEDRINE","TRANYLCYPROMINE","CRITICAL"
"QUAZEPAM","SODIUM OXYBATE","CRITICAL"
"QUETIAPINE FUMARATE","TERFENADINE","CRITICAL"
"QUETIAPINE FUMARATE","THIORIDAZINE","CRITICAL"
"QUINAPRIL","SPIRONOLACTONE","CRITICAL"
"QUINAPRIL","TRIAMTERENE","CRITICAL"
"QUINIDINE","RANOLAZINE","CRITICAL"
"QUINIDINE","RITONAVIR","CRITICAL"
"QUINIDINE","VORICONAZOLE","CRITICAL"
"QUINIDINE","ZIPRASIDONE","CRITICAL"
"RAMIPRIL","SPIRONOLACTONE","CRITICAL"
"RAMIPRIL","TRIAMTERENE","CRITICAL"
"RANOLAZINE","RITONAVIR","CRITICAL"
"RANOLAZINE","SAQUINAVIR","CRITICAL"
"RANOLAZINE","SOTALOL","CRITICAL"
"RANOLAZINE","THIORIDAZINE","CRITICAL"
"RANOLAZINE","VERAPAMIL","CRITICAL"
"RANOLAZINE","VORICONAZOLE","CRITICAL"
"RANOLAZINE","ZIPRASIDONE","CRITICAL"
"REMIFENTANIL HYDROCHLORIDE","SODIUM OXYBATE","CRITICAL"
"RIFABUTIN","RITONAVIR","CRITICAL"
"VORICONAZOLE","RIFABUTIN","CRITICAL"
"RIFAMPIN","RITONAVIR","CRITICAL"
"RIFAMPIN","SAQUINAVIR","CRITICAL"
"RIFAMPIN","TIPRANAVIR","CRITICAL"
"RIFAMPIN","VORICONAZOLE","CRITICAL"
"RIFAMPIN","WARFARIN","CRITICAL"
"RIFAPENTINE","RITONAVIR","CRITICAL"
"RITONAVIR","RIFAPENTINE","CRITICAL"
"RITONAVIR","SIMVASTATIN","CRITICAL"
"RITONAVIR","TRIAZOLAM","CRITICAL"
"RITONAVIR","VORICONAZOLE","CRITICAL"
"RITONAVIR","VORICONAZOLE","CRITICAL"
"RIZATRIPTAN","TRANYLCYPROMINE","CRITICAL"
"SAQUINAVIR","SIMVASTATIN","CRITICAL"
"SAQUINAVIR","TIPRANAVIR","CRITICAL"
"SAQUINAVIR","TRIAZOLAM","CRITICAL"
"SECOBARBITAL","SODIUM OXYBATE","CRITICAL"
"SECOBARBITAL","WARFARIN","CRITICAL"
"SELEGILINE","SERTRALINE","CRITICAL"
"SELEGILINE","TRIMIPRAMINE","CRITICAL"
"SERTRALINE","TRANYLCYPROMINE","CRITICAL"
"SIBUTRAMINE HYDROCHLORIDE","TRANYLCYPROMINE","CRITICAL"
"SIMVASTATIN","VORICONAZOLE","CRITICAL"
"VORICONAZOLE","SIROLIMUS","CRITICAL"
"SODIUM OXYBATE","SUFENTANIL","CRITICAL"
"SODIUM OXYBATE","TEMAZEPAM","CRITICAL"
"SODIUM OXYBATE","TIZANIDINE","CRITICAL"
"SODIUM OXYBATE","TRIAZOLAM","CRITICAL"
"SOTALOL","VERAPAMIL","CRITICAL"
"SOTALOL","ZIPRASIDONE","CRITICAL"
"SPARFLOXACIN","ZIPRASIDONE","CRITICAL"
"SULFAMETHOXAZOLE","WARFARIN","CRITICAL"
"SUMATRIPTAN","TRANYLCYPROMINE","CRITICAL"
"TACRINE HYDROCHLORIDE","THEOPHYLLINE","CRITICAL"
"TACROLIMUS","VORICONAZOLE","CRITICAL"
"TACROLIMUS","ZIPRASIDONE","CRITICAL"
"TAMOXIFEN","WARFARIN","CRITICAL"
"THIORIDAZINE","ZIPRASIDONE","CRITICAL"
"TIMOLOL","VERAPAMIL","CRITICAL"
"TIZANIDINE","VERAPAMIL","CRITICAL"
"TIZANIDINE","ZILEUTON","CRITICAL"
"TRAMADOL HYDROCHLORIDE","TRIFLUOPERAZINE","CRITICAL"
"TRAMADOL HYDROCHLORIDE","TRIFLUPROMAZINE","CRITICAL"
"TRANYLCYPROMINE","TRIMIPRAMINE","CRITICAL"
"TRIAZOLAM","VORICONAZOLE","CRITICAL"
"VORICONAZOLE","WARFARIN","CRITICAL"
"WARFARIN","ZAFIRLUKAST","CRITICAL"
"ACARBOSE","DIGITALIS","SIGNIFICANT"
"ACEBUTOLOL","ALLERGENIC EXTRACT, BEE","SIGNIFICANT"
"ACEBUTOLOL","CLONIDINE","SIGNIFICANT"
"ACEBUTOLOL","DISOPYRAMIDE","SIGNIFICANT"
"ACEBUTOLOL","EPINEPHRINE","SIGNIFICANT"
"ACETAMINOPHEN","ISONIAZID","SIGNIFICANT"
"ACETAMINOPHEN","SULFINPYRAZONE","SIGNIFICANT"
"ACETAZOLAMIDE","LITHIUM","SIGNIFICANT"
"MEMANTINE","ACETAZOLAMIDE","SIGNIFICANT"
"ACETOHEXAMIDE","VORICONAZOLE","SIGNIFICANT"
"ACETOPHENAZINE","CISAPRIDE","SIGNIFICANT"
"ACITRETIN","GLYBURIDE","SIGNIFICANT"
"ACITRETIN","METHOTREXATE","SIGNIFICANT"
"ACITRETIN","PHENYTOIN","SIGNIFICANT"
"ACITRETIN","TETRACYCLINE","SIGNIFICANT"
"ACYCLOVIR","FOSPHENYTOIN SODIUM","SIGNIFICANT"
"ACYCLOVIR","PHENYTOIN","SIGNIFICANT"
"ACYCLOVIR","THEOPHYLLINE","SIGNIFICANT"
"ALCOHOL","DISULFIRAM","SIGNIFICANT"
"ALFENTANIL","ERYTHROMYCIN","SIGNIFICANT"
"ALFENTANIL","FLUCONAZOLE","SIGNIFICANT"
"ALFUZOSIN","AMIODARONE","SIGNIFICANT"
"ALFUZOSIN","AMPRENAVIR","SIGNIFICANT"
"ALFUZOSIN","APREPITANT","SIGNIFICANT"
"ALFUZOSIN","CLARITHROMYCIN","SIGNIFICANT"
"ALFUZOSIN","DILTIAZEM","SIGNIFICANT"
"ALFUZOSIN","ERYTHROMYCIN","SIGNIFICANT"
"ALFUZOSIN","INDINAVIR SULFATE","SIGNIFICANT"
"ALFUZOSIN","NEFAZODONE","SIGNIFICANT"
"ALFUZOSIN","NELFINAVIR MESYLATE","SIGNIFICANT"
"ALFUZOSIN","SAQUINAVIR","SIGNIFICANT"
"ALFUZOSIN","SILDENAFIL CITRATE","SIGNIFICANT"
"ALFUZOSIN","VARDENAFIL","SIGNIFICANT"
"VARDENAFIL","ALFUZOSIN","SIGNIFICANT"
"ALLERGENIC EXTRACT MIXED ANTIGENS","METOPROLOL","SIGNIFICANT"
"ALLERGENIC EXTRACT, BEE","ATENOLOL","SIGNIFICANT"
"ALLERGENIC EXTRACT, BEE","BETAXOLOL","SIGNIFICANT"
"ALLERGENIC EXTRACT, BEE","BISOPROLOL FUMARATE","SIGNIFICANT"
"ALLERGENIC EXTRACT, BEE","CARTEOLOL","SIGNIFICANT"
"ALLERGENIC EXTRACT, BEE","CARVEDILOL","SIGNIFICANT"
"ALLERGENIC EXTRACT, BEE","ESMOLOL","SIGNIFICANT"
"ALLERGENIC EXTRACT, BEE","LABETALOL","SIGNIFICANT"
"ALLERGENIC EXTRACT, BEE","METOPROLOL","SIGNIFICANT"
"ALLERGENIC EXTRACT, BEE","NADOLOL","SIGNIFICANT"
"ALLERGENIC EXTRACT, BEE","PENBUTOLOL","SIGNIFICANT"
"ALLERGENIC EXTRACT, BEE","PINDOLOL","SIGNIFICANT"
"ALLERGENIC EXTRACT, BEE","PROPRANOLOL","SIGNIFICANT"
"ALLERGENIC EXTRACT, BEE","SOTALOL","SIGNIFICANT"
"ALLERGENIC EXTRACT, BEE","TIMOLOL","SIGNIFICANT"
"ALLOPURINOL","AMOXICILLIN","SIGNIFICANT"
"ALLOPURINOL","WARFARIN","SIGNIFICANT"
"ALMOTRIPTAN","CITALOPRAM","SIGNIFICANT"
"ALMOTRIPTAN","DULOXETINE","SIGNIFICANT"
"ALMOTRIPTAN","ESCITALOPRAM OXALATE","SIGNIFICANT"
"ALMOTRIPTAN","FLUOXETINE","SIGNIFICANT"
"ALMOTRIPTAN","FLUVOXAMINE MALEATE","SIGNIFICANT"
"ALMOTRIPTAN","ITRACONAZOLE","SIGNIFICANT"
"ALMOTRIPTAN","KETOCONAZOLE","SIGNIFICANT"
"ALMOTRIPTAN","PAROXETINE","SIGNIFICANT"
"ALMOTRIPTAN","SERTRALINE","SIGNIFICANT"
"ALMOTRIPTAN","SIBUTRAMINE HYDROCHLORIDE","SIGNIFICANT"
"ALMOTRIPTAN","VENLAFAXINE HYDROCHLORIDE","SIGNIFICANT"
"ALOSETRON","KETOCONAZOLE","SIGNIFICANT"
"ALPRAZOLAM","BUPRENORPHINE","SIGNIFICANT"
"ALPRAZOLAM","CLARITHROMYCIN","SIGNIFICANT"
"ALPRAZOLAM","CLOZAPINE","SIGNIFICANT"
"ALPRAZOLAM","ERYTHROMYCIN","SIGNIFICANT"
"ALPRAZOLAM","FLUCONAZOLE","SIGNIFICANT"
"ALPRAZOLAM","ITRACONAZOLE","SIGNIFICANT"
"ALPRAZOLAM","KETOCONAZOLE","SIGNIFICANT"
"ALPRAZOLAM","NEFAZODONE","SIGNIFICANT"
"ALPRAZOLAM","OLEANDOMYCIN (AS TROLEANDOMYCIN)","SIGNIFICANT"
"OMEPRAZOLE","ALPRAZOLAM","SIGNIFICANT"
"ALPRAZOLAM","RITONAVIR","SIGNIFICANT"
"ALUMINUM ACETATE","CEFPODOXIME PROXETIL","SIGNIFICANT"
"ALUMINUM ACETATE","MOXIFLOXACIN","SIGNIFICANT"
"ALUMINUM CARBONATE","CIPROFLOXACIN","SIGNIFICANT"
"ALUMINUM CARBONATE","DOXYCYCLINE","SIGNIFICANT"
"ALUMINUM CARBONATE","ENOXACIN","SIGNIFICANT"
"ALUMINUM CARBONATE","GATIFLOXACIN","SIGNIFICANT"
"ALUMINUM CARBONATE","ITRACONAZOLE","SIGNIFICANT"
"ALUMINUM CARBONATE","KETOCONAZOLE","SIGNIFICANT"
"ALUMINUM CARBONATE","LEVOFLOXACIN","SIGNIFICANT"
"ALUMINUM CARBONATE","LOMEFLOXACIN","SIGNIFICANT"
"ALUMINUM CARBONATE","MINOCYCLINE","SIGNIFICANT"
"ALUMINUM CARBONATE","MOXIFLOXACIN","SIGNIFICANT"
"ALUMINUM CARBONATE","TETRACYCLINE","SIGNIFICANT"
"ALUMINUM CARBONATE","ZALCITABINE (DIDEOXYCYTIDINE,ddC)","SIGNIFICANT"
"ALUMINUM CHLORIDE","MOXIFLOXACIN","SIGNIFICANT"
"ALUMINUM HYDROXIDE","CEFPODOXIME PROXETIL","SIGNIFICANT"
"ALUMINUM HYDROXIDE","DOXYCYCLINE","SIGNIFICANT"
"ALUMINUM HYDROXIDE","ENOXACIN","SIGNIFICANT"
"ALUMINUM HYDROXIDE","ETHAMBUTOL","SIGNIFICANT"
"ALUMINUM HYDROXIDE","GATIFLOXACIN","SIGNIFICANT"
"ALUMINUM HYDROXIDE","ITRACONAZOLE","SIGNIFICANT"
"ALUMINUM HYDROXIDE","KETOCONAZOLE","SIGNIFICANT"
"LEVOFLOXACIN","ALUMINUM HYDROXIDE","SIGNIFICANT"
"ALUMINUM HYDROXIDE","LOMEFLOXACIN","SIGNIFICANT"
"ALUMINUM HYDROXIDE","MINOCYCLINE","SIGNIFICANT"
"ALUMINUM HYDROXIDE","MOXIFLOXACIN","SIGNIFICANT"
"ALUMINUM HYDROXIDE","TETRACYCLINE","SIGNIFICANT"
"ALUMINUM HYDROXIDE","ZALCITABINE (DIDEOXYCYTIDINE,ddC)","SIGNIFICANT"
"ALUMINUM PHOSPHATE","CIPROFLOXACIN","SIGNIFICANT"
"ALUMINUM PHOSPHATE","DOXYCYCLINE","SIGNIFICANT"
"ALUMINUM PHOSPHATE","ENOXACIN","SIGNIFICANT"
"ALUMINUM PHOSPHATE","GATIFLOXACIN","SIGNIFICANT"
"ALUMINUM PHOSPHATE","LOMEFLOXACIN","SIGNIFICANT"
"ALUMINUM PHOSPHATE","MOXIFLOXACIN","SIGNIFICANT"
"ALUMINUM PHOSPHATE","TETRACYCLINE","SIGNIFICANT"
"ALUMINUM SULFATE","MOXIFLOXACIN","SIGNIFICANT"
"ALUMINUM/MAGNESIUM HYDROXIDE","ATAZANAVIR SO4","SIGNIFICANT"
"ALUMINUM/MAGNESIUM HYDROXIDE","GABAPENTIN","SIGNIFICANT"
"ALUMINUM/MAGNESIUM HYDROXIDE","MOXIFLOXACIN","SIGNIFICANT"
"ALUMINUM/MAGNESIUM HYDROXIDE","TIPRANAVIR","SIGNIFICANT"
"AMBENONIUM CHLORIDE","BETAMETHASONE","SIGNIFICANT"
"AMBENONIUM CHLORIDE","CORTICOTROPIN","SIGNIFICANT"
"AMBENONIUM CHLORIDE","CORTISONE","SIGNIFICANT"
"AMBENONIUM CHLORIDE","COSYNTROPIN","SIGNIFICANT"
"AMBENONIUM CHLORIDE","DESOXYCORTICOSTERONE","SIGNIFICANT"
"AMBENONIUM CHLORIDE","DEXAMETHASONE","SIGNIFICANT"
"AMBENONIUM CHLORIDE","FLUDROCORTISONE","SIGNIFICANT"
"AMBENONIUM CHLORIDE","HYDROCORTISONE","SIGNIFICANT"
"AMBENONIUM CHLORIDE","METHYLPREDNISOLONE","SIGNIFICANT"
"AMBENONIUM CHLORIDE","PARAMETHASONE","SIGNIFICANT"
"AMBENONIUM CHLORIDE","PREDNISOLONE","SIGNIFICANT"
"AMBENONIUM CHLORIDE","PREDNISONE","SIGNIFICANT"
"AMBENONIUM CHLORIDE","TRIAMCINOLONE","SIGNIFICANT"
"AMIKACIN","ATRACURIUM","SIGNIFICANT"
"AMIKACIN","BUMETANIDE","SIGNIFICANT"
"AMIKACIN","CISATRACURIUM BESYLATE","SIGNIFICANT"
"AMIKACIN","DOXACURIUM","SIGNIFICANT"
"AMIKACIN","ETHACRYNIC ACID","SIGNIFICANT"
"AMIKACIN","FOSCARNET","SIGNIFICANT"
"AMIKACIN","FUROSEMIDE","SIGNIFICANT"
"AMIKACIN","GALLAMINE TRIETHIODIDE","SIGNIFICANT"
"AMIKACIN","METOCURINE IODIDE","SIGNIFICANT"
"AMIKACIN","MIVACURIUM","SIGNIFICANT"
"AMIKACIN","PANCURONIUM","SIGNIFICANT"
"AMIKACIN","PENTAMIDINE","SIGNIFICANT"
"AMIKACIN","PIPECURONIUM","SIGNIFICANT"
"AMIKACIN","ROCURONIUM BROMIDE","SIGNIFICANT"
"AMIKACIN","SUCCINYLCHOLINE","SIGNIFICANT"
"AMIKACIN","TORSEMIDE","SIGNIFICANT"
"AMIKACIN","TUBOCURARINE","SIGNIFICANT"
"AMIKACIN","VECURONIUM","SIGNIFICANT"
"AMILORIDE","CANDESARTAN","SIGNIFICANT"
"DOFETILIDE","AMILORIDE","SIGNIFICANT"
"AMILORIDE","EPROSARTAN","SIGNIFICANT"
"AMILORIDE","IRBESARTAN","SIGNIFICANT"
"AMILORIDE","LOSARTAN","SIGNIFICANT"
"AMILORIDE","OLMESARTAN","SIGNIFICANT"
"AMILORIDE","PERINDOPRIL","SIGNIFICANT"
"AMILORIDE","POTASSIUM PHOSPHATE","SIGNIFICANT"
"AMILORIDE","QUINIDINE","SIGNIFICANT"
"AMILORIDE","TELMISARTAN","SIGNIFICANT"
"AMILORIDE","TRANDOLAPRIL","SIGNIFICANT"
"AMILORIDE","VALSARTAN","SIGNIFICANT"
"AMINOGLUTETHIMIDE","TAMOXIFEN","SIGNIFICANT"
"AMINOPHYLLINE","FLUVOXAMINE MALEATE","SIGNIFICANT"
"AMINOPHYLLINE","FOSPHENYTOIN SODIUM","SIGNIFICANT"
"AMINOPHYLLINE","PHENOBARBITAL","SIGNIFICANT"
"AMINOPHYLLINE","PHENYTOIN","SIGNIFICANT"
"AMINOPHYLLINE","RIFAMPIN","SIGNIFICANT"
"AMIODARONE","ATAZANAVIR SO4","SIGNIFICANT"
"AMIODARONE","ATORVASTATIN CALCIUM","SIGNIFICANT"
"AMIODARONE","CIPROFLOXACIN","SIGNIFICANT"
"AMIODARONE","CYCLOSPORINE","SIGNIFICANT"
"AMIODARONE","DOFETILIDE","SIGNIFICANT"
"AMIODARONE","ERYTHROMYCIN","SIGNIFICANT"
"AMIODARONE","FENTANYL","SIGNIFICANT"
"AMIODARONE","FLECAINIDE","SIGNIFICANT"
"AMIODARONE","FOSPHENYTOIN SODIUM","SIGNIFICANT"
"GRAPEFRUIT EXTRACT","AMIODARONE","SIGNIFICANT"
"AMIODARONE","LEVOFLOXACIN","SIGNIFICANT"
"AMIODARONE","LIDOCAINE","SIGNIFICANT"
"AMIODARONE","LOVASTATIN","SIGNIFICANT"
"AMIODARONE","MEXILETINE","SIGNIFICANT"
"MOXIFLOXACIN","AMIODARONE","SIGNIFICANT"
"AMIODARONE","OFLOXACIN","SIGNIFICANT"
"AMIODARONE","PHENYTOIN","SIGNIFICANT"
"AMIODARONE","PROCAINAMIDE","SIGNIFICANT"
"AMIODARONE","RIFAMPIN","SIGNIFICANT"
"AMIODARONE","SILDENAFIL CITRATE","SIGNIFICANT"
"AMIODARONE","SIMVASTATIN","SIGNIFICANT"
"AMIODARONE","SOTALOL","SIGNIFICANT"
"AMIODARONE","TRAMADOL HYDROCHLORIDE","SIGNIFICANT"
"VARDENAFIL","AMIODARONE","SIGNIFICANT"
"AMITRIPTYLINE","CARBAMAZEPINE","SIGNIFICANT"
"AMITRIPTYLINE","CIMETIDINE","SIGNIFICANT"
"AMITRIPTYLINE","ERYTHROMYCIN","SIGNIFICANT"
"AMITRIPTYLINE","FLUOXETINE","SIGNIFICANT"
"AMITRIPTYLINE","FLUVOXAMINE MALEATE","SIGNIFICANT"
"AMITRIPTYLINE","LINEZOLID","SIGNIFICANT"
"AMITRIPTYLINE","PAROXETINE","SIGNIFICANT"
"AMITRIPTYLINE","RIFABUTIN","SIGNIFICANT"
"AMITRIPTYLINE","RIFAMPIN","SIGNIFICANT"
"AMITRIPTYLINE","RIFAPENTINE","SIGNIFICANT"
"AMITRIPTYLINE","TRAMADOL HYDROCHLORIDE","SIGNIFICANT"
"AMITRIPTYLINE","YOHIMBINE HYDROCHLORIDE","SIGNIFICANT"
"AMITRIPTYLINE","ZIPRASIDONE","SIGNIFICANT"
"AMLODIPINE","ITRACONAZOLE","SIGNIFICANT"
"AMOBARBITAL","ESTRADIOL","SIGNIFICANT"
"AMOBARBITAL","ETHINYL ESTRADIOL","SIGNIFICANT"
"AMOXAPINE","CARBAMAZEPINE","SIGNIFICANT"
"AMOXAPINE","FLUOXETINE","SIGNIFICANT"
"AMOXAPINE","FLUVOXAMINE MALEATE","SIGNIFICANT"
"AMOXAPINE","LINEZOLID","SIGNIFICANT"
"AMOXAPINE","RIFABUTIN","SIGNIFICANT"
"AMOXAPINE","RIFAMPIN","SIGNIFICANT"
"AMOXAPINE","RIFAPENTINE","SIGNIFICANT"
"AMPICILLIN","DESOGESTREL","SIGNIFICANT"
"AMPICILLIN","ETHINYL ESTRADIOL","SIGNIFICANT"
"AMPICILLIN","ETHYNODIOL DIACETATE","SIGNIFICANT"
"AMPICILLIN","LEVONORGESTREL","SIGNIFICANT"
"AMPICILLIN","MESTRANOL","SIGNIFICANT"
"AMPICILLIN","NORELGESTROMIN","SIGNIFICANT"
"AMPICILLIN","NORETHINDRONE","SIGNIFICANT"
"AMPICILLIN","NORETHYNODREL","SIGNIFICANT"
"AMPICILLIN","NORGESTIMATE","SIGNIFICANT"
"AMPRENAVIR","ATORVASTATIN CALCIUM","SIGNIFICANT"
"AMPRENAVIR","CERIVASTATIN SODIUM","SIGNIFICANT"
"AMPRENAVIR","CLOZAPINE","SIGNIFICANT"
"AMPRENAVIR","ERYTHROMYCIN","SIGNIFICANT"
"HYPERICUM PERFORATUM (ST. JOHN'S WORT)","AMPRENAVIR","SIGNIFICANT"
"AMPRENAVIR","LIDOCAINE","SIGNIFICANT"
"AMPRENAVIR","QUINIDINE","SIGNIFICANT"
"AMPRENAVIR","SILDENAFIL CITRATE","SIGNIFICANT"
"AMPRENAVIR","TRIAZOLAM","SIGNIFICANT"
"VARDENAFIL","AMPRENAVIR","SIGNIFICANT"
"ANISINDIONE","ASPIRIN","SIGNIFICANT"
"ANISINDIONE","CHOLESTYRAMINE","SIGNIFICANT"
"ANISINDIONE","CIPROFLOXACIN","SIGNIFICANT"
"ANISINDIONE","DANSHEN","SIGNIFICANT"
"ANISINDIONE","DICLOFENAC","SIGNIFICANT"
"ANISINDIONE","DICLOXACILLIN","SIGNIFICANT"
"ANISINDIONE","DIFLUNISAL","SIGNIFICANT"
"ANISINDIONE","ERYTHROMYCIN","SIGNIFICANT"
"ANISINDIONE","ETODOLAC","SIGNIFICANT"
"ANISINDIONE","FENOPROFEN","SIGNIFICANT"
"ANISINDIONE","FLURBIPROFEN","SIGNIFICANT"
"ANISINDIONE","FOSPHENYTOIN SODIUM","SIGNIFICANT"
"ANISINDIONE","GEMFIBROZIL","SIGNIFICANT"
"ANISINDIONE","GLYBURIDE","SIGNIFICANT"
"ANISINDIONE","IBUPROFEN","SIGNIFICANT"
"ANISINDIONE","INDOMETHACIN","SIGNIFICANT"
"ANISINDIONE","KETOPROFEN","SIGNIFICANT"
"ANISINDIONE","KETOROLAC TROMETHAMINE","SIGNIFICANT"
"ANISINDIONE","LEVAMISOLE","SIGNIFICANT"
"ANISINDIONE","LEVOTHYROXINE SODIUM","SIGNIFICANT"
"ANISINDIONE","LIOTHYRONINE SODIUM","SIGNIFICANT"
"ANISINDIONE","MECLOFENAMATE SODIUM","SIGNIFICANT"
"ANISINDIONE","MEFENAMIC ACID","SIGNIFICANT"
"ANISINDIONE","METHIMAZOLE","SIGNIFICANT"
"ANISINDIONE","METRONIDAZOLE","SIGNIFICANT"
"ANISINDIONE","NABUMETONE","SIGNIFICANT"
"ANISINDIONE","NAPROXEN","SIGNIFICANT"
"ANISINDIONE","OXAPROZIN","SIGNIFICANT"
"ANISINDIONE","PAROXETINE","SIGNIFICANT"
"ANISINDIONE","PHENYTOIN","SIGNIFICANT"
"ANISINDIONE","PHYTONADIONE","SIGNIFICANT"
"ANISINDIONE","PIROXICAM","SIGNIFICANT"
"ANISINDIONE","PROPYLTHIOURACIL","SIGNIFICANT"
"ANISINDIONE","SULFAMETHOXAZOLE","SIGNIFICANT"
"ANISINDIONE","SULFINPYRAZONE","SIGNIFICANT"
"ANISINDIONE","SULFISOXAZOLE","SIGNIFICANT"
"ANISINDIONE","SULINDAC","SIGNIFICANT"
"ANISINDIONE","THYROGLOBULIN","SIGNIFICANT"
"ANISINDIONE","THYROID","SIGNIFICANT"
"ANISINDIONE","TOLAZAMIDE","SIGNIFICANT"
"ANISINDIONE","TOLMETIN","SIGNIFICANT"
"ANISINDIONE","VITAMIN E","SIGNIFICANT"
"ANISINDIONE","VITAMIN K","SIGNIFICANT"
"APREPITANT","DESOGESTREL","SIGNIFICANT"
"APREPITANT","DEXAMETHASONE","SIGNIFICANT"
"APREPITANT","ETHINYL ESTRADIOL","SIGNIFICANT"
"APREPITANT","METHYLPREDNISOLONE","SIGNIFICANT"
"APREPITANT","NORETHINDRONE","SIGNIFICANT"
"APREPITANT","NORGESTREL","SIGNIFICANT"
"APREPITANT","PREDNISOLONE","SIGNIFICANT"
"APREPITANT","PREDNISONE","SIGNIFICANT"
"APREPITANT","WARFARIN","SIGNIFICANT"
"ARIPIPRAZOLE","CARBAMAZEPINE","SIGNIFICANT"
"ARIPIPRAZOLE","KETOCONAZOLE","SIGNIFICANT"
"ARIPIPRAZOLE","QUINIDINE","SIGNIFICANT"
"ASPIRIN","CELECOXIB","SIGNIFICANT"
"CILOSTAZOL","ASPIRIN","SIGNIFICANT"
"ASPIRIN","CLOPIDOGREL BISULFATE","SIGNIFICANT"
"ASPIRIN","DALTEPARIN SODIUM","SIGNIFICANT"
"ASPIRIN","DICUMAROL","SIGNIFICANT"
"ASPIRIN","ENOXAPARIN","SIGNIFICANT"
"ASPIRIN","HEPARIN","SIGNIFICANT"
"ASPIRIN","IBUPROFEN","SIGNIFICANT"
"ASPIRIN","PHENPROCOUMON","SIGNIFICANT"
"ASPIRIN","PROBENECID","SIGNIFICANT"
"ASPIRIN","ROFECOXIB","SIGNIFICANT"
"ASPIRIN","SULFINPYRAZONE","SIGNIFICANT"
"ASPIRIN","VALDECOXIB","SIGNIFICANT"
"ASPIRIN","WARFARIN","SIGNIFICANT"
"ASTEMIZOLE","GRAPEFRUIT EXTRACT","SIGNIFICANT"
"ATAZANAVIR SO4","CIMETIDINE","SIGNIFICANT"
"ATAZANAVIR SO4","CLARITHROMYCIN","SIGNIFICANT"
"ATAZANAVIR SO4","DELAVIRDINE MESYLATE","SIGNIFICANT"
"ATAZANAVIR SO4","DIDANOSINE","SIGNIFICANT"
"DILTIAZEM","ATAZANAVIR SO4","SIGNIFICANT"
"ATAZANAVIR SO4","EFAVIRENZ","SIGNIFICANT"
"ATAZANAVIR SO4","ERLOTINIB","SIGNIFICANT"
"ATAZANAVIR SO4","ERYTHROMYCIN","SIGNIFICANT"
"ATAZANAVIR SO4","FAMOTIDINE","SIGNIFICANT"
"ATAZANAVIR SO4","FOSAMPRENAVIR","SIGNIFICANT"
"ATAZANAVIR SO4","LANSOPRAZOLE","SIGNIFICANT"
"ATAZANAVIR SO4","NIZATIDINE","SIGNIFICANT"
"ATAZANAVIR SO4","RANITIDINE","SIGNIFICANT"
"ATAZANAVIR SO4","RIFAMPIN","SIGNIFICANT"
"ATAZANAVIR SO4","SILDENAFIL CITRATE","SIGNIFICANT"
"ATAZANAVIR SO4","SUNITINIB","SIGNIFICANT"
"ATAZANAVIR SO4","TADALAFIL","SIGNIFICANT"
"ATAZANAVIR SO4","VARDENAFIL","SIGNIFICANT"
"ATENOLOL","CLONIDINE","SIGNIFICANT"
"ATENOLOL","DILTIAZEM","SIGNIFICANT"
"ATENOLOL","DISOPYRAMIDE","SIGNIFICANT"
"ATENOLOL","EPINEPHRINE","SIGNIFICANT"
"ATOMOXETINE HCL","FLUOXETINE","SIGNIFICANT"
"ATOMOXETINE HCL","FLUOXETINE","SIGNIFICANT"
"ATOMOXETINE HCL","FOSAMPRENAVIR","SIGNIFICANT"
"ATOMOXETINE HCL","PAROXETINE","SIGNIFICANT"
"ATOMOXETINE HCL","PAROXETINE","SIGNIFICANT"
"ATOMOXETINE HCL","QUINIDINE","SIGNIFICANT"
"ATOMOXETINE HCL","QUINIDINE","SIGNIFICANT"
"ATORVASTATIN CALCIUM","DELAVIRDINE MESYLATE","SIGNIFICANT"
"ATORVASTATIN CALCIUM","DILTIAZEM","SIGNIFICANT"
"ATORVASTATIN CALCIUM","FENOFIBRATE","SIGNIFICANT"
"ATORVASTATIN CALCIUM","FLUCONAZOLE","SIGNIFICANT"
"ATORVASTATIN CALCIUM","FOSAMPRENAVIR","SIGNIFICANT"
"GRAPEFRUIT EXTRACT","ATORVASTATIN CALCIUM","SIGNIFICANT"
